상품ID,원본URL,순위,분류,브랜드,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점
8336308869,https://www.coupang.com/vp/products/8336308869?itemId=16176074337&vendorItemId=83371526389&q=%EA%B3%B0%EA%B3%B0%20%EC%A0%95%EC%9C%A1&searchId=edb3942d1688970&sourceType=search&itemsCount=36&searchRank=0&rank=0,1,정육,곰곰,"곰곰 대패 우삼겹 (냉동), 500g, 1개",45.0,8740,500,1748,"38,868",4.75
1473796614,https://www.coupang.com/vp/products/1473796614?itemId=2532934918&vendorItemId=70525675924&pickType=COU_PICK&q=%EA%B3%B0%EA%B3%B0%20%EC%A0%95%EC%9C%A1&searchId=edb3942d1688970&sourceType=search&itemsCount=36&searchRank=1&rank=1,2,정육,곰곰,"곰곰 호주산 소고기 앞다리살 국거리용 (냉장), 300g, 1개",12.0,8690,300,2897,"131,959",4.69
9069279280,https://www.coupang.com/vp/products/9069279280?itemId=2654582269&vendorItemId=70645418046&q=%EA%B3%B0%EA%B3%B0%20%EC%A0%95%EC%9C%A1&searchId=edb3942d1688970&sourceType=search&itemsCount=36&searchRank=3&rank=3,4,정육,곰곰,"곰곰 돌돌말이 무연골 대패 삼겹살 (냉동), 1kg, 1개입",40.0,11780,1000,1178,"155,173",4.73
1203624977,https://www.coupang.com/vp/products/1203624977?itemId=2189161697&vendorItemId=70187147399&q=%EA%B3%B0%EA%B3%B0%20%EC%A0%95%EC%9C%A1&searchId=edb3942d1688970&sourceType=search&itemsCount=36&searchRank=4&rank=4,5,정육,곰곰,"곰곰 한돈 앞다리살 찌개용 (냉장), 500g, 1개",27.0,8310,500,1662,"58,013",4.71
1473796645,https://www.coupang.com/vp/products/1473796645?itemId=2532934938&vendorItemId=70525675952&q=%EA%B3%B0%EA%B3%B0%20%EC%A0%95%EC%9C%A1&searchId=edb3942d1688970&sourceType=search&itemsCount=36&searchRank=5&rank=5,6,정육,곰곰,"곰곰 호주산 소고기 앞다리살 다짐육 (냉장), 300g, 1개",36.0,8690,300,2897,"47,237",4.69
8519725414,https://www.coupang.com/vp/products/8519725414?itemId=24667137301&vendorItemId=91677476384&q=%EA%B3%B0%EA%B3%B0%20%EC%A0%95%EC%9C%A1&searchId=edb3942d1688970&sourceType=search&itemsCount=36&searchRank=6&rank=6,7,정육,곰곰,"곰곰 호주산 차돌박이 (냉동), 500g, 1개",45.0,15890,500,3178,"4,193",4.59
2123555127,https://www.coupang.com/vp/products/2123555127?itemId=3603503962&vendorItemId=71589185727&q=%EA%B3%B0%EA%B3%B0%20%EC%A0%95%EC%9C%A1&searchId=edb3942d1688970&sourceType=search&itemsCount=36&searchRank=7&rank=7,8,정육,곰곰,"곰곰 한돈 삼겹살 구이용 (냉장), 500g, 1개",14.0,13310,500,2662,"36,209",4.63
1465326792,https://www.coupang.com/vp/products/1465326792?itemId=2520044798&vendorItemId=70512939979&q=%EA%B3%B0%EA%B3%B0%20%EC%A0%95%EC%9C%A1&searchId=edb3942d1688970&sourceType=search&itemsCount=36&searchRank=8&rank=8,9,정육,곰곰,"곰곰 한돈 앞다리살 수육용 (냉장), 1kg, 1팩",,15600,1000,1560,"38,515",4.7
7825533516,https://www.coupang.com/vp/products/7825533516?itemId=21268970134&vendorItemId=88329249476&q=%EA%B3%B0%EA%B3%B0%20%EC%A0%95%EC%9C%A1&searchId=edb3942d1688970&sourceType=search&itemsCount=36&searchRank=9&rank=9,10,정육,곰곰,"곰곰 THE 신선한 한돈 목살 구이용 (냉장), 500g, 1팩",39.0,11990,500,2398,"14,861",4.77
1519590114,https://www.coupang.com/vp/products/1519590114?itemId=2607553003&vendorItemId=70598672204&q=%EA%B3%B0%EA%B3%B0%20%EC%A0%95%EC%9C%A1&searchId=edb3942d1688970&sourceType=search&itemsCount=36&searchRank=11&rank=11,12,정육,곰곰,"곰곰 한돈 뒷다리살 다짐육 (냉장), 400g, 1개",20.0,5180,400,1295,"60,245",4.76
