상품ID,컬리상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점
12274376800,5056791,KF365,1,정육·가공육·달걀,[KF365] 1+등급 무항생제 특란 20구,0,7980,1200.0,665.0,8416.0,4.85
12274518551,5131915,KF365,2,정육·가공육·달걀,[KF365] 훈제오리 300g ~,33,6990,300.0,74560.0,9640.0,4.86
12274488227,5081090,KF365,3,정육·가공육·달걀,[KF365] 양념 소불고기 4종 (택1),30,13900,,,6356.0,4.81
12274562713,1000127449,KF365,4,정육·가공육·달걀,[KF365] 무항생제 특란 30구 (15구*2ea),0,10690,1800.0,594.0,13677.0,4.87
12274500294,5103617,KF365,5,정육·가공육·달걀,[KF365] 1+ 한우 국거리 300g(냉장),22,14190,300.0,99330.0,5917.0,4.82
12274531725,5151849,KF365,6,정육·가공육·달걀,[KF365] 1+등급 무항생제 특란 15구,5,5785,900.0,2571.0,5066.0,4.86
12275427425,5085771,KF365,7,정육·가공육·달걀,[KF365] 춘천식 닭갈비 2종 (냉장) (택1),20,14350,500.0,54530.0,4657.0,4.85
12274531655,5151851,KF365,8,정육·가공육·달걀,[KF365] 1+등급 무항생제 백색 대란 20구,0,7620,1040.0,733.0,12487.0,4.86
12274593285,1000304161,KF365,9,정육·가공육·달걀,[KF365] 에어프라이어용 미니 돈까스 2종,36,6390,500.0,44730.0,4217.0,4.89
12274602481,1000391155,KF365,10,정육·가공육·달걀,[KF365] 에어프라이어용 치즈 폭탄 돈까스 300g (모짜렐라),18,8150,300.0,46183.0,2779.0,4.85
12274376392,5056512,KF365,11,정육·가공육·달걀,[KF365] 한돈 삼겹살 구이용 600g/1kg (냉장),20,15900,600.0,50350.0,3474.0,4.77
12274638007,1000743035,KF365,12,정육·가공육·달걀,[KF365] 에어프라이어용 통 닭가슴살 치킨까스 120g*5pk,24,9490,600.0,36378.0,6736.0,4.89
12274376769,5056790,KF365,13,정육·가공육·달걀,[KF365] 1+등급 무항생제 특란 10구,0,4200,600.0,700.0,3144.0,4.9
12274611086,1000463031,KF365,14,정육·가공육·달걀,[KF365] 1+ 한우 다짐육 300g(냉장),22,14190,300.0,99330.0,1318.0,4.89
12300398228,1000120319,KF365,15,정육·가공육·달걀,[KF365] 한돈 급냉 삼겹살 600g/1kg (냉동),28,21400,600.0,96300.0,3671.0,4.75
12274573213,1000170410,KF365,16,정육·가공육·달걀,[KF365] 통통한 그릴 비엔나 소시지 700g,31,7900,700.0,33857.0,3301.0,4.89
12274606995,1000420040,KF365,17,정육·가공육·달걀,[KF365] 양념 칼집 목살구이1kg (냉동),16,13775,,,3075.0,4.73
12274524551,5137058,KF365,18,정육·가공육·달걀,[KF365] 오리지널 바베큐폭립 2종,24,10990,,,3818.0,4.7
12274522419,5135994,KF365,19,정육·가공육·달걀,[KF365] 에어프라이어용 통등심 돈까스 2종,15,10670,600.0,24897.0,2218.0,4.85
12275360725,5085769,KF365,20,정육·가공육·달걀,[KF365] 한돈 고추장양념 돼지불고기 2종 (냉장) (택1),14,7290,500.0,18954.0,1898.0,4.82
12274479180,5069067,KF365,21,정육·가공육·달걀,[KF365] 한돈 목살 구이용 600g~ (냉장),25,14900,600.0,59600.0,1891.0,4.84
12275341417,5059673,KF365,22,정육·가공육·달걀,[KF365] 1등급 닭 다리살 2종  (냉장),5,9405,500.0,7524.0,1861.0,4.89
12274565531,1000137060,KF365,23,정육·가공육·달걀,[KF365] 두툼한 샌드위치햄 300g (150g*2입),18,4900,300.0,27767.0,1686.0,4.89
12274667168,1001058180,KF365,24,정육·가공육·달걀,[KF365] 무항생제 왕란 30구 (15구 *2ea),0,10980,,,4914.0,4.87
12274376373,5056509,KF365,25,정육·가공육·달걀,[KF365] 한돈 앞다리 찌개용 600g (냉장),10,10980,600.0,16470.0,930.0,4.84
12274500231,5103616,KF365,26,정육·가공육·달걀,[KF365] 1+ 한우 불고기용 300g(냉장),22,14190,300.0,99330.0,412.0,4.75
12275454764,5059671,KF365,27,정육·가공육·달걀,[KF365] 1등급 닭볶음탕용 2종 (냉장),20,4792,500.0,18210.0,1679.0,4.82
12274721099,1001401390,KF365,28,정육·가공육·달걀,[KF365] 호주산 소고기 부채살 스테이크 300g(냉장),22,9990,300.0,69930.0,2213.0,4.8
12274679977,1001201259,KF365,29,정육·가공육·달걀,[KF365] 호주산 소고기 부채살 구이용 300g(냉장),26,9440,300.0,78667.0,1023.0,4.75
12275415751,5081537,KF365,30,정육·가공육·달걀,[KF365] 생 등심 돈까스 1kg (냉장),10,14120,,,1033.0,4.86
12274693137,1001297814,KF365,31,정육·가공육·달걀,[KF365] 무항생제 한입 닭가슴살 1kg(냉동),30,8990,,,2058.0,4.88
12274531655,1000179412,KF365,32,정육·가공육·달걀,[KF365] 무항생제 대란 20구,15,6154,1040.0,8284.0,12487.0,4.86
12274607896,1000408177,KF365,33,정육·가공육·달걀,[KF365] 1+ 한우 정육 샤브샤브용 300g (냉동),25,13600,300.0,108800.0,383.0,4.68
12274548547,1000050986,KF365,34,정육·가공육·달걀,[KF365] 1+등급 무항생제 백색 특란 20구,5,7866,1200.0,2622.0,1253.0,4.83
12274510054,5119904,KF365,35,정육·가공육·달걀,[KF365] 1+등급 무항생제 대란 10구,0,4100,520.0,788.0,1423.0,4.9
12274690972,1001304045,KF365,36,정육·가공육·달걀,[KF365] 리얼 삼겹 베이컨 2종 (1입/3입),25,2900,120.0,58000.0,603.0,4.86
12274560111,1000120315,KF365,37,정육·가공육·달걀,[KF365] 한돈 앞다리 제육용 600g (냉장),10,10980,600.0,16470.0,600.0,4.81
12300398228,5069068,KF365,38,정육·가공육·달걀,[KF365] 한돈 삼겹 대패 600g~ (냉동),21,14980,600.0,49933.0,3671.0,4.75
12273090380,5138713,KF365,39,정육·가공육·달걀,[KF365] 갈색 반숙란 20구,6,10990,,,2431.0,4.82
12274618024,1000525593,KF365,40,정육·가공육·달걀,[KF365] 한돈 찜갈비 800g(냉장),15,13900,800.0,24325.0,658.0,4.76
12275414550,5069066,KF365,41,정육·가공육·달걀,[KF365] 한돈 다짐육 600g (냉장),15,7390,600.0,17243.0,359.0,4.84
12274601580,1000378376,KF365,42,정육·가공육·달걀,[KF365] 1+등급 무항생제 초란 + 특란 30구,0,10490,30.0,34967.0,5183.0,4.87
12274600895,1000363410,KF365,43,정육·가공육·달걀,[KF365] 1+등급 무항생제 대란 30구 (15구*2ea),0,10290,1560.0,660.0,1242.0,4.88
12338970190,1001539472,KF365,44,정육·가공육·달걀,[KF365] 한돈 앞다리 용도별 균일가 3종 (택1),10,10980,600.0,16470.0,304.0,4.77
12274699784,1001353838,KF365,45,정육·가공육·달걀,[KF365] 에어프라이어용 통등심 롱카츠 450g,23,9590,450.0,46884.0,933.0,4.83
12274604523,1000417443,KF365,46,정육·가공육·달걀,[KF365] 오리주물럭 600g (200gX3개입),19,13689,600.0,41067.0,827.0,4.81
12275367261,1001363981,KF365,47,정육·가공육·달걀,[KF365] 무항생제 한돈 다짐육 300g*2 (냉장),17,7590,600.0,20240.0,908.0,4.87
